"","X","last_first_name","BBE","Avg.LA","LA.Std.Dev","Sweet.Spot.","HH.LA","Oppo.FB.","Oppo.FB.EV","High.AA.","season","game_type","handedness","level","oppo_fb_pct_rank","oppo_fb_ev_pct_rank","high_aa_pct_rank","attack_angle_avg_rank","sweet_spot_pct_rank","launch_angle_avg_rank","hard_hit_pct_rank",".groups","poor_loft","loft_cohort","hhla_norm","avg_la_norm","ideal_aa_norm","sweet_spot_norm","angles_score","angles_tier","interaction_cohort","swspt_cohort"
"56",56,"Campusano, Luis",237,9.9,29.3,31.6,6.1,27.1,88,0,2024,"R","Overall","MLB",33.1,45.4,0,0,17.8,23.1,7,"drop",FALSE,"Non-Poor Loft",0.07,0.231,0,0.178,0.15985,"Below Average","Excluded from Analysis","Excluded from Analysis"
"57",57,"Candelario, Jeimer",316,12.4,28.7,35.4,15.6,25.8,87.1,0,2024,"R","Overall","MLB",27.3,36.8,0,0,51.1,40.1,72.9,"drop",FALSE,"Non-Poor Loft",0.729,0.401,0,0.511,0.54664,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"58",58,"Canha, Mark",302,9.6,29,33.1,8.2,24.2,89.9,0,2024,"R","Overall","MLB",20.3,70.4,0,0,29.1,20.8,13.5,"drop",FALSE,"Non-Poor Loft",0.135,0.208,0,0.291,0.21213,"Below Average","Excluded from Analysis","Excluded from Analysis"
"59",59,"Canzone, Dominic",117,9.1,33,33.3,13.2,35.9,91.2,0,2024,"R","Overall","MLB",69.2,84.5,0,0,31.6,17,52.6,"drop",FALSE,"Non-Poor Loft",0.526,0.17,0,0.316,0.33712,"Below Average","Excluded from Analysis","Excluded from Analysis"
"60",60,"Caratini, Victor",195,9.2,24.7,37.9,6.2,34,87.4,0,2024,"R","Overall","MLB",62.4,39.3,0,0,75.4,17.8,7.3,"drop",TRUE,"Poor Loft",0.073,0.178,0,0.754,0.33919,"Below Average","Excluded from Analysis","Poor Loft + Good Angles"
"61",61,"Carlson, Dylan",161,15.8,27.8,31.7,20.5,28,84,0,2024,"R","Overall","MLB",36.1,9.3,0,0,18.8,69.9,93.7,"drop",FALSE,"Non-Poor Loft",0.937,0.699,0,0.188,0.6038,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"62",62,"Carpenter, Kerry",192,17.6,26.3,42.2,20.9,33.3,93.2,0,2024,"R","Overall","MLB",58.9,95,0,0,96.2,83,94.7,"drop",FALSE,"Non-Poor Loft",0.947,0.83,0,0.962,0.91349,"Excellent","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"63",63,"Carroll, Corbin",467,12,33.9,28.9,8.6,39.4,91.3,0,2024,"R","Overall","MLB",83,85.5,0,0,6,36.8,15.8,"drop",FALSE,"Non-Poor Loft",0.158,0.368,0,0.06,0.19398,"Below Average","Excluded from Analysis","Excluded from Analysis"
"64",64,"Carter, Evan",102,13.9,31.1,33.3,9.2,23.3,81,0,2024,"R","Overall","MLB",16.8,1.8,0,0,31.6,54.1,21.1,"drop",FALSE,"Non-Poor Loft",0.211,0.541,0,0.316,0.3556,"Below Average","Excluded from Analysis","Excluded from Analysis"
"65",65,"Casas, Triston",135,10.5,27.7,38.5,17.1,26.2,95,0,2024,"R","Overall","MLB",29.6,97.7,0,0,79.2,27.3,83.2,"drop",FALSE,"Non-Poor Loft",0.832,0.273,0,0.792,0.63393,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"66",66,"Castellanos, Nick",469,15.2,23.6,40.5,14.5,31.5,89.6,0,2024,"R","Overall","MLB",52.1,67.4,0,0,90,66.7,63.2,"drop",FALSE,"Non-Poor Loft",0.632,0.667,0,0.9,0.73467,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"67",67,"Castro, Willi",408,13.4,26.9,40,14,33,85.6,0,2024,"R","Overall","MLB",58.1,20.8,0,0,87,49.1,58.9,"drop",FALSE,"Non-Poor Loft",0.589,0.491,0,0.87,0.6522,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"68",68,"Cave, Jake",228,7.6,27.2,36.8,13,42.9,88.3,0,2024,"R","Overall","MLB",91.2,51.6,0,0,67.9,10,51.4,"drop",FALSE,"Non-Poor Loft",0.514,0.1,0,0.679,0.43348,"Below Average","Excluded from Analysis","Non-Poor Loft + Good Angles"
"69",69,"Chapman, Matt",419,16.2,31.8,32.2,13.2,26.1,88.9,0,2024,"R","Overall","MLB",29.1,59.1,0,0,22.6,72.4,52.6,"drop",FALSE,"Non-Poor Loft",0.526,0.724,0,0.226,0.48934,"Below Average","Excluded from Analysis","Excluded from Analysis"
"70",70,"Chisholm Jr., Jazz",405,11.4,27.9,32.1,13.7,24.3,91.3,0,2024,"R","Overall","MLB",20.6,85.5,0,0,21.8,33.8,55.4,"drop",FALSE,"Non-Poor Loft",0.554,0.338,0,0.218,0.36848,"Below Average","Excluded from Analysis","Excluded from Analysis"
"71",71,"Chourio, Jackson",406,7.6,28.8,34.5,9.6,31,88.7,0,2024,"R","Overall","MLB",48.9,56.1,0,0,43.1,10,24.1,"drop",FALSE,"Non-Poor Loft",0.241,0.1,0,0.431,0.25907,"Below Average","Excluded from Analysis","Excluded from Analysis"
"72",72,"Clement, Ernie",394,16.3,28.6,36.3,13.9,25.9,85.4,0,2024,"R","Overall","MLB",28.1,18.8,0,0,61.9,73.7,57.9,"drop",FALSE,"Non-Poor Loft",0.579,0.737,0,0.619,0.64474,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"73",73,"Conforto, Michael",323,14.8,30.2,34.7,15.4,29.8,88.9,0,2024,"R","Overall","MLB",43.6,59.1,0,0,45.1,61.7,70.9,"drop",FALSE,"Non-Poor Loft",0.709,0.617,0,0.451,0.59092,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"74",74,"Contreras, William",459,6,29,30.1,10.4,40.4,95.1,0,2024,"R","Overall","MLB",85.5,98.2,0,0,9.3,6,30.8,"drop",FALSE,"Non-Poor Loft",0.308,0.06,0,0.093,0.15306,"Below Average","Excluded from Analysis","Excluded from Analysis"
"75",75,"Contreras, Willson",205,14.2,28.6,34.1,12.2,24,91.6,0,2024,"R","Overall","MLB",18.8,87.7,0,0,38.8,56.6,44.4,"drop",FALSE,"Non-Poor Loft",0.444,0.566,0,0.388,0.46522,"Below Average","Excluded from Analysis","Excluded from Analysis"
"76",76,"Correa, Carlos",262,9,29.6,35.9,9.2,36.7,89.1,0,2024,"R","Overall","MLB",71.2,62.2,0,0,57.6,15.5,21.1,"drop",FALSE,"Non-Poor Loft",0.211,0.155,0,0.576,0.31662,"Below Average","Excluded from Analysis","Excluded from Analysis"
"77",77,"Cowser, Colton",329,13,25.3,34,16.3,34.7,91.5,0,2024,"R","Overall","MLB",64.9,86.7,0,0,38.1,44.6,78.4,"drop",FALSE,"Non-Poor Loft",0.784,0.446,0,0.381,0.53544,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"78",78,"Crawford, J.P.",289,13.2,27.6,31.8,13.5,22.5,88.3,0,2024,"R","Overall","MLB",14.3,51.6,0,0,20.3,46.6,54.4,"drop",FALSE,"Non-Poor Loft",0.544,0.466,0,0.203,0.40232,"Below Average","Excluded from Analysis","Excluded from Analysis"
"79",79,"Cronenworth, Jake",460,13.9,26.4,36.7,12.2,41,87,0,2024,"R","Overall","MLB",87.5,36.6,0,0,66.4,54.1,44.4,"drop",TRUE,"Poor Loft",0.444,0.541,0,0.664,0.55081,"Good","Poor Loft + Good Angles","Poor Loft + Good Angles"
"80",80,"Crow-Armstrong, Pete",262,16.9,27.9,35.9,20.5,30.6,91.6,0,2024,"R","Overall","MLB",46.6,87.7,0,0,57.6,77.9,93.7,"drop",FALSE,"Non-Poor Loft",0.937,0.779,0,0.576,0.76212,"Excellent","Non-Poor Loft + Good Angles","Excluded from Analysis"
"81",81,"Cruz, Oneil",364,9.8,28,33.5,7.4,29.3,90.7,0,2024,"R","Overall","MLB",40.9,78.4,0,0,34.1,22.8,11.5,"drop",FALSE,"Non-Poor Loft",0.115,0.228,0,0.341,0.22913,"Below Average","Excluded from Analysis","Excluded from Analysis"
"82",82,"Davis, J.D.",103,2.8,29.4,25.2,12.1,35.3,91.6,0,2024,"R","Overall","MLB",67.2,87.7,0,0,0.8,1.3,43.6,"drop",FALSE,"Non-Poor Loft",0.436,0.013,0,0.008,0.15089,"Below Average","Excluded from Analysis","Excluded from Analysis"
"83",83,"De La Cruz, Bryan",419,13.1,26.8,36.5,18,40.8,90.1,0,2024,"R","Overall","MLB",86.7,73.7,0,0,64.2,45.4,87,"drop",FALSE,"Non-Poor Loft",0.87,0.454,0,0.642,0.6552,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"84",84,"De La Cruz, Elly",397,9.7,25.2,37,11.9,37,89.2,0,2024,"R","Overall","MLB",72.7,63.9,0,0,69.7,21.8,41.1,"drop",FALSE,"Non-Poor Loft",0.411,0.218,0,0.697,0.44455,"Below Average","Excluded from Analysis","Non-Poor Loft + Good Angles"
"85",85,"DeJong, Paul",294,20,28.9,37.4,21.2,26.5,89.1,0,2024,"R","Overall","MLB",30.3,62.2,0,0,71.4,92.5,95.2,"drop",FALSE,"Non-Poor Loft",0.952,0.925,0,0.714,0.86217,"Excellent","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"86",86,"DeLuca, Jonny",250,16.3,30.8,34.4,10.8,25.5,83.8,0,2024,"R","Overall","MLB",25.3,8,0,0,41.9,73.7,33.3,"drop",FALSE,"Non-Poor Loft",0.333,0.737,0,0.419,0.49556,"Below Average","Excluded from Analysis","Excluded from Analysis"
