"","player_name","pitch_name","Pitches","BIP","Swing%","Strike%","Zone%","Chase%","CS%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%"
"589","McGough, Scott","4-Seam Fastball",345,48,41.7,63.2,47.5,24.9,22.3,47.2,18.8,14.1,28.9,39.6,66.7
"590","McGough, Scott","Split-Finger",221,34,59.3,64.7,32.6,46.3,5.9,32.1,42,25.8,56.5,55.9,50
"591","McHugh, Collin","Cutter",239,43,44.8,64.9,46,26.4,21.3,42.1,15.9,13.7,20.6,55.8,41.9
"592","McHugh, Collin","Sweeper",236,56,46.2,58.1,27.1,35.5,11.9,20.2,28.4,6.2,45.9,42.9,35.7
"593","Medina, Luis","4-Seam Fastball",418,88,49.8,66.7,49.3,29.2,17.7,44.7,13,11.6,16.1,28.4,45.5
"594","Medina, Luis","Sinker",198,44,46,63.6,43.9,31.5,18.2,38.5,13.2,8.9,20,70.5,31.8
"595","Medina, Luis","Slider",334,38,47.6,58.4,29.6,37.9,11.4,24.5,51.6,35.7,64,44.7,50
"596","Megill, Trevor","4-Seam Fastball",224,33,48.7,67.9,45.5,35.2,20.5,45,24.8,19.7,32.6,24.2,39.4
"597","Megill, Tylor","4-Seam Fastball",556,109,42.3,61.7,46.2,19.7,20.3,37.4,16.2,15.9,16.9,47.7,48.6
"598","Megill, Tylor","Changeup",142,32,48.6,63.4,39.4,31.4,15.5,30.4,23.2,14.3,37,65.6,25
"599","Megill, Tylor","Slider",326,55,46.9,57.7,33.1,33,11.3,34.6,29.4,14.8,45.8,40,43.6
"600","Merryweather, Julian","4-Seam Fastball",232,41,49.1,69,45.7,31,21.1,49.1,14,12,17.9,53.7,61
"601","Merryweather, Julian","Slider",423,50,47.8,65,35.5,38.1,18,32.2,43.1,19.4,65.4,38,34
"602","Middleton, Keynan","Changeup",191,24,55.5,67.5,44.5,39.6,13.1,34.9,42.5,35.9,52.4,58.3,41.7
"603","Middleton, Keynan","Slider",202,33,40.6,55.9,26.7,31.1,15.8,22,37.8,11.1,58.7,54.5,30.3
"604","Mikolas, Miles","4-Seam Fastball",420,64,55.5,70,48.1,39.4,16,51.1,21.5,13.6,34.9,26.6,65.6
"605","Mikolas, Miles","Curveball",319,50,40.8,58.6,41.7,26.3,18.2,37.7,23.8,17.3,34.7,48,40
"606","Mikolas, Miles","Sinker",465,120,49.5,70.3,49.7,32.5,21.3,38.7,8.3,7.8,9.2,48.3,37.5
"607","Mikolas, Miles","Slider",491,111,48.5,63.5,38.3,31.4,15.7,33.2,19.7,14,28.4,37.8,30.6
