"","player_name","pitch_name","Pitches","BIP","Swing%","Strike%","Zone%","Chase%","CS%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%"
"134","Gonzales, Marco","Overall",633,128,48.7,64.5,39.7,35.3,16.9,36.7,21.4,14.9,29.6,39.1,34.4
"135","Gore, MacKenzie","Overall",1854,297,48.8,62.6,38.9,34.5,15,40.4,26.8,16.7,40,39.4,44.1
"136","Gott, Trevor","Overall",399,75,38.8,58.9,36.8,23.8,20.6,33.5,18.1,12.6,26.7,40,38.7
"137","Graterol, Brusdar","Overall",412,79,51.7,64.8,39.3,35.6,13.3,43.2,19.2,11.3,30.3,60.8,30.4
"138","Graveman, Kendall","Overall",423,66,43,56.7,37.1,NA,14.4,36.3,27.5,22.1,34.6,39.4,31.8
"139","Gray, Jon","Overall",1294,229,47.5,61.5,41,31.9,15.2,38.9,23.4,15.1,36.1,35.8,40.2
"140","Gray, Josiah","Overall",1445,221,45.4,59.4,35.2,31.8,15.3,40.1,25.8,16.8,36.6,33.9,38.9
"141","Gray, Sonny","Overall",1382,255,46.7,63.8,41.7,29.7,17.6,37.2,22.9,13,39.7,53.7,39.6
"142","Greene, Hunter","Overall",1086,128,47,59.2,37.1,30.9,14.2,41.6,33.1,23.7,46.4,25,40.6
"143","Greinke, Zack","Overall",983,221,45.3,62.3,41,30.3,18,37.8,11.9,7.4,18.8,43.4,38.5
"144","Grove, Michael","Overall",595,106,47.1,64,44.7,30.1,17.6,42.9,19.3,11.6,33.3,37.7,53.8
"145","Hader, Josh","Overall",848,88,49.6,62.6,35.5,36.6,13.9,47.3,31.4,22.2,41.5,38.6,26.1
"146","Hamilton, Ian","Overall",469,64,48,62.7,37.7,33.6,16,36.4,34.7,22,51,59.4,42.2
"147","Hand, Brad","Overall",567,99,48,65.1,43,34.4,17.6,41.9,21.3,9.3,38.7,35.4,40.4
"148","Harris, Hogan","Overall",884,156,47.6,63.3,47.9,27.5,17.4,39.9,23,19.7,30.7,37.8,45.5
"149","Harrison, Kyle","Overall",420,63,46.7,64.8,42.4,31.4,19.8,38.8,28.6,20.8,40.8,23.8,41.3
"150","Harvey, Hunter","Overall",396,76,52.8,66.4,44.4,38.6,15.9,38.8,24.4,16.1,36.5,44.7,43.4
"151","Heaney, Andrew","Overall",2183,370,50.1,62.6,37.9,35.3,14,39.7,26.1,17.8,36.8,41.1,39.7
"152","Hendricks, Kyle","Overall",1135,231,45.9,63.7,32.2,37.8,18.7,30.7,24.6,13.5,33.3,47.6,31.6
"153","Henry, Tommy","Overall",1055,206,48.8,62.1,36.6,36.6,13.9,37.7,21.9,12.2,32.7,36.9,34.5
"154","Hentges, Sam","Overall",562,92,43.8,63.2,42.3,28.7,20.3,33.3,28.9,14.4,52.7,56.5,50
