"","player_name","pitch_name","Pitches","BIP","Swing%","Strike%","Zone%","Chase%","CS%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%"
"193","Kowar, Jackson","Overall",327,50,45,61.5,40.7,29.4,17.7,39.5,25.9,10,50.9,50,38
"194","Kremer, Dean","Overall",1552,293,47.8,64.2,43.1,30.8,17.5,35.8,24.3,17.7,35.7,44,38.6
"195","Kuhl, Chad","Overall",373,61,38.1,55.2,39.9,24.6,17.4,26.8,30.3,19.5,47.3,39.3,50.8
"196","Lambert, Jimmy","Overall",344,57,45.9,62.8,41,28.1,18.3,36.7,27.2,17.8,43.9,36.8,49.1
"197","Lambert, Peter","Overall",763,148,47.8,63.6,42.9,30,16.1,37.8,21.6,17.5,29,39.2,45.9
"198","Lange, Alex","Overall",566,81,40.5,58.1,29.7,34.9,18.4,26.2,38.4,13.3,54.7,50.6,38.3
"199","Law, Derek","Overall",494,89,50.8,61.7,37.7,35.7,12.1,33.5,30.6,18.3,46.4,50.6,31.5
"200","Lawrence, Casey","Overall",336,65,45.8,60.1,39.9,32.2,14.9,34.4,23.4,15.7,33.8,36.9,40
"201","Lawrence, Justin","Overall",664,107,40.2,63.4,44.4,28.7,23.5,32.6,27.3,19.3,39.6,44.9,34.6
"202","Leclerc, José","Overall",791,112,48.9,60.3,30.7,38.1,12.1,33.3,37.1,26.3,46.4,29.5,29.5
"203","Leiter Jr., Mark","Overall",346,54,43.9,57.8,41,28.4,15.3,36.8,26.3,16,43.1,48.1,42.6
"204","Leone, Dominic","Overall",539,93,53.2,62.3,34.9,39.3,10.6,30,37.6,25.5,50.7,37.6,45.2
"205","Littell, Zack","Overall",698,158,53.9,67.6,45.4,34.4,14.2,37.8,20.2,14.7,30.5,44.9,40.5
"206","Lively, Ben","Overall",667,126,45.9,64.2,44.5,28.6,19.2,33.7,25.2,16,42.5,44.4,36.5
"207","Llovera, Mauricio","Overall",430,75,41.6,64,43.7,26,23.5,37.4,20,15.4,28.6,46.7,40
"208","Long, Sam","Overall",305,53,46.9,62.3,43,27,17,41.3,21,15.6,31.9,43.4,43.4
"209","Lorenzen, Michael","Overall",986,218,49.8,66.8,44,34.8,18.2,38.3,17.3,9.7,29.2,47.7,39
"210","Lugo, Seth","Overall",1122,214,46.7,64.7,42.9,30.7,18.9,38.9,20,10.7,35.5,45.3,38.8
"211","Luzardo, Jesús","Overall",681,101,47.1,64.2,38.2,34,18.1,32.7,35.5,18.5,56.6,56.4,35.6
"212","Lyles, Jordan","Overall",1454,303,49,63.6,39.1,35.1,15.5,36.5,20.4,9.2,34.7,34,34.7
"213","Lynn, Lance","Overall",1640,267,50.9,63.1,40.2,34,14,36.9,30.7,23.2,41.9,38.2,39.3
"214","López, Jorge","Overall",621,130,49,64.3,40.4,36.8,16.7,34.5,22.7,10.7,37.5,46.9,44.6
"215","López, Pablo","Overall",1631,265,52.6,66.4,41.7,40,15.1,37.2,31.7,23.2,42.4,47.9,34
"216","López, Reynaldo","Overall",656,94,53.7,65.5,41.9,38.1,13,43.2,30.1,23.7,39.3,42.6,39.4
"217","Machado, Andrés","Overall",415,86,54.5,68,42.9,42.2,14.5,37.2,24.8,11.9,41,39.5,33.7
"218","Maeda, Kenta","Overall",929,152,52.6,65.6,39.1,40.1,14.2,39.1,29.9,19.8,41.4,34.9,48
