"","last_first_name","BIP.x","Swing%","Chase%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%","SLGcon","BIP.y","Avg LA","LA Std Dev","Sweet Spot%","HH LA","Oppo FB%","Oppo FB EV","High AA%"
"28","Burleson, Alec",243,48.4,33.6,39.2,15.8,11.6,21.6,38.7,45.3,0.551,241,17.4,27.3,33.6,14,33.8,89.5,37
"29","Busch, Michael",214,47.6,30,39.5,26.3,14.5,46.6,34.6,47.7,0.743,213,17.6,24.3,45.1,20.2,31,89.9,57.4
"30","Butler, Lawrence",244,47.3,31.5,34,32.3,19.1,51,47.1,43.9,0.59,241,6.7,29.6,36.9,9.4,47.1,89.1,12.4
"31","Báez, Javier",72,54.5,47.8,36.9,26.2,12.5,37.4,51.4,38.9,0.583,72,8.2,27.9,36.1,10.2,29.4,85.2,14.3
"32","Cabrera, Oswaldo",84,48.5,31.6,36.4,24.3,17.9,35,51.2,34.5,0.393,81,8.8,26.7,30.9,1.8,58.3,88.1,NA
"33","Caglianone, Jac",80,53.1,40.2,38.9,24.9,7.8,43.4,45,42.5,0.288,80,11.2,31.9,30,9.9,46.7,87.2,12.5
"34","Caminero, Junior",98,51.4,38.7,36.2,26.2,19.6,34.2,52,52,0.602,98,8.2,27.4,22.4,9.4,35.7,96.2,14.3
"35","Canzone, Dominic",92,53.2,41.9,41.7,24.4,15.5,33.9,44.6,47.8,0.685,92,9.5,27.6,37,9.6,18.2,79.2,36
"36","Caratini, Victor",222,47.7,27.4,36.2,19.1,14.9,28.4,41.9,40.1,0.514,222,13.1,28.7,34.2,11.9,30,84.9,22.7
"37","Carlson, Dylan",113,50.6,30.1,42.9,23,21.2,26.6,36.3,27.4,0.389,111,16.2,29.7,36.9,20,24.3,91,34.3
"38","Carpenter, Kerry",198,55.7,40.6,39.1,25.5,18.2,35.1,31.3,47.5,0.717,198,22.3,27.1,37.9,20.7,14.5,88.8,59.6
"39","Carroll, Corbin",192,50.2,37.3,42.3,25.6,18.2,33.8,31.8,51.6,0.833,192,19.8,30.3,34.4,18.2,23.9,90.1,23.8
"40","Carter, Evan",116,46.2,25.9,33.8,27,16.5,50,35.3,39.7,0.534,115,17,28.1,36.5,9.2,34.4,83.4,14.4
"41","Castellanos, Nick",97,60.7,46.6,41.5,26.8,16,38.9,36.1,43.3,0.577,97,16.4,22.1,45.4,18.9,36.7,88,42.6
"42","Castro, Willi",239,53.2,37.5,40.3,27.4,16.8,42.7,39.7,39.7,0.54,238,12.5,29.3,39.1,10.6,30.6,84.3,17.9
"43","Chisholm Jr., Jazz",151,47.7,31.6,37.3,32.3,23.8,44.9,35.8,49.7,0.755,150,17.8,26.7,34.7,20.3,18.3,86.3,47.5
"44","Chourio, Jackson",90,50.8,40.2,33.8,23.8,16.1,32.4,45.6,50,0.756,89,6,30.7,42.7,14.7,47.1,95.8,22.7
"45","Clemens, Kody",137,49.3,33.1,40.3,23.7,18.2,33.3,35.8,53.3,0.708,135,16.2,27.6,34.1,19,14.6,91.3,33.3
"46","Clement, Ernie",123,54.6,40.6,40.4,10,5.8,15.2,30.1,29.3,0.577,122,20.1,24.1,43.4,12,38.5,86.5,29.4
"47","Collins, Isaac",192,43.6,23,39.9,23.9,15.7,42.7,42.7,40.1,0.583,188,12.2,28,39.4,8.6,35.6,85.5,6.3
"48","Conforto, Michael",190,44.7,27.9,40.3,24.7,15.9,39.2,41.6,43.7,0.442,190,14.4,29.7,33.2,13.6,36.5,89.8,28.5
"49","Contreras, William",86,44.1,28.5,36.7,25.2,20.4,32.6,48.8,44.2,0.43,86,4.6,32.7,32.6,8.9,31.2,87.1,34
"50","Contreras, Willson",80,45.3,32.3,35.9,27.1,16,40.8,30,50,0.7,79,16.1,25.1,48.1,18.4,21.7,87.9,19.1
"51","Cowser, Colton",95,44.7,30.1,33.5,31.2,19.9,50,43.2,46.3,0.663,95,13.8,24.8,33.7,16.8,38.7,92,51.2
"52","Crawford, J.P.",239,45.3,26.8,43.8,19.5,14.5,29.2,41.4,36,0.498,235,11.7,25.6,47.7,8.6,29.3,84.6,11.9
"53","Cronenworth, Jake",153,43.5,28.4,42.9,21.3,11.6,36,37.9,41.8,0.523,153,16.9,27.1,31.4,13.7,30.6,85.7,15.1
"54","Crow-Armstrong, Pete",231,62.2,49.9,37.6,28.8,18.3,38.8,31.2,45.9,0.758,225,20.3,27.7,39.1,20,17.5,86.6,60.2
"55","Cruz, Oneil",189,40.5,30.4,35.3,31.4,23.5,39.6,44.4,59.8,0.72,189,9.9,29,34.9,9.9,26.5,93.3,15.7
"56","De La Cruz, Elly",319,45.3,31.4,32.2,30.9,21.3,44.3,51.1,45.8,0.661,318,8.1,28.3,35.8,10.9,41.7,89.2,15
"57","Devers, Rafael",196,45.8,28.7,38.2,33.7,30.5,38.6,40.8,57.7,0.689,196,14.5,28.1,35.7,14.3,32.2,93.8,43.1
"58","Domínguez, Jasson",231,50.4,34.8,41.8,27.4,16.4,42.5,45.5,49.8,0.558,231,13.3,25.8,31.2,8.2,44.6,86.1,11
"59","Donovan, Brendan",247,43.4,26.9,38.2,11.8,5.3,23.7,40.1,43.7,0.502,245,14.3,25.8,42,11,42.9,88.4,13.4
"60","Duran, Jarren",233,46.8,34,35.4,26.7,13.8,42.6,42.1,50.2,0.687,233,13.6,26.5,33.9,10,31.1,90.1,13.6
"61","Díaz, Yandy",108,47.2,30.7,39.6,15.4,7.3,29.2,47.2,57.4,0.593,108,8.9,26.1,35.2,9.5,43.3,94.6,1.6
"62","Edman, Tommy",249,47.4,33.2,35.4,20,9.2,36.5,46.6,37.3,0.482,247,11.5,29,34.4,11.3,30,86.8,22.8
"63","Edwards, Xavier",347,47.7,29.5,41.7,10.4,6.6,17.5,46.1,30.8,0.427,331,10,25.3,38.1,5.9,41.3,83.6,11.3
"64","Espinal, Santiago",92,43.2,25.2,41,12,7.4,21.5,31.5,34.8,0.402,91,21.7,26.2,36.3,10.1,29,81.3,20
"65","Flores, Wilmer",77,48.5,34.4,43.4,20.3,10.4,34.5,36.4,27.3,0.455,77,19.9,31.3,32.5,6.1,35.3,83.2,24.4
"66","Fraley, Jake",120,47.3,29.1,38.5,24.6,11.7,46.7,33.3,34.2,0.533,120,19.8,26.4,40.8,14.1,14.3,86.8,20.4
"67","France, Ty",88,51,34.3,43.1,20.1,14,29.2,44.3,42,0.466,88,11.5,24.3,40.9,16.1,34.6,91,43.3
"68","Frazier, Adam",210,50.8,33.5,43.3,17.3,13.3,24.3,38.6,19,0.39,208,14.7,27.1,40.9,15.2,27.1,85.6,35.1
"69","Freeman, Freddie",217,51.6,33.8,38.5,28,21.4,38.1,38.2,46.5,0.673,217,15.4,23.9,41.5,15.4,41.3,89.3,33.6
"70","Frelick, Sal",222,43.5,31,42.6,12.3,10.1,15.6,43.2,31.1,0.491,221,13.9,29.3,35.3,9.4,27.1,85,19.2
"71","Friedl, TJ",241,39.1,23.2,37.3,16,7.7,32.6,39,33.6,0.498,233,14.7,27.4,38.6,8.4,20.4,87,16.3
"72","García Jr., Luis",247,53.2,42.3,38.1,20.2,7.4,33,43.7,47.8,0.514,247,9.3,29.2,37.2,12.9,19,86.6,20.8
"73","Giménez, Andrés",126,49.1,37,43,19.6,12.8,28.9,37.3,29.4,0.437,124,11,27.4,41.1,11.4,29,92.3,20
"74","Goldschmidt, Paul",92,43,27.9,35.9,17.7,13.6,24.7,20.7,50,0.837,92,21.5,24.2,52.2,22.6,46.9,90.3,30.6
"75","Gonzalez, Romy",70,51.5,38,31.7,33.7,22.9,46.2,40,64.3,0.929,70,11.8,22.5,40,13.2,15,95.9,7.1
"76","Goodman, Hunter",72,55,39.6,34.8,33.5,24.6,44.6,33.3,51.4,0.681,72,18.8,26.8,37.5,16,36,91.6,23.5
"77","Gorman, Nolan",109,47.7,31.2,36.1,32.7,23.8,47,28.4,46.8,0.642,108,22.7,24.5,44.4,20.8,25.6,91.2,57.6
"78","Greene, Riley",201,53.6,36.6,37.7,33.7,26.1,44.4,33.8,46.8,0.896,201,17.1,24.2,43.8,20.4,34.8,95,45.5
"79","Grichuk, Randal",95,50.7,37.2,40.2,21.7,8.1,42,32.6,54.7,0.642,95,19.2,28,42.1,12.7,28.6,92,20
"80","Grisham, Trent",189,39.2,20.6,36.6,19.4,13.1,34.1,33.3,47.1,0.661,188,17.8,30.7,37.8,20.3,10.6,91,71.3
"81","Guerrero Jr., Vladimir",86,41.4,25.2,35.4,19.8,15.6,27.1,40.7,53.5,0.605,86,8.5,26.3,44.2,9.4,44.4,89.2,3.6
"82","Gurriel Jr., Lourdes",113,57.7,40.3,40.5,17.5,8.1,32.1,32.7,36.3,0.425,113,18.6,30.6,34.5,18,18.8,86.6,26.7
"83","Haggerty, Sam",117,49.6,32.6,33.9,26.2,16.5,42.1,48.7,44.4,0.479,115,7.8,27.9,38.3,5.3,38.1,85.8,7.7
"84","Hamilton, David",89,45.2,29.4,34.6,23,14.5,38,42.7,27,0.36,85,14.1,28.6,31.8,9.2,40,84.9,16.7
"85","Happ, Ian",307,43.7,25.7,39.9,23.8,15.5,40.6,36.5,41,0.524,306,15.8,29.2,35.3,17.2,34.7,86.9,26.4
"86","Harper, Bryce",151,49,35.2,36.2,30.5,14.3,48.4,38.4,49.7,0.656,151,13.6,25.7,39.1,13,45.8,93.1,31
"87","Harris II, Michael",257,59.1,47.5,38.6,21.4,9,35,50.6,42.4,0.451,254,6.4,30.7,32.3,9.4,33.3,88.6,11.6
"88","Heim, Jonah",230,51.8,35.3,40.1,25.1,18.4,36.4,39.6,35.2,0.452,227,14.4,28.1,37.4,10.1,23.1,85.8,40.5
"89","Heineman, Tyler",91,51.5,36.2,40.4,20.8,13.5,30.8,46.2,24.2,0.604,84,16.5,31,34.5,14.5,5.3,80.6,14.9
"90","Henderson, Gunnar",208,48.8,33.2,37.5,24.5,13.1,41.6,49.5,57.2,0.683,208,9.6,24.3,32.7,8.2,24.3,88.3,14.8
"91","Herrera, Jose",119,37.9,19.9,38.2,20.2,11.8,41.2,44.5,22.7,0.311,109,16.9,25.3,34.9,11.1,18.8,86.3,15.1
"92","Hicks, Liam",153,35.6,18.1,32.7,16.3,10.7,30.6,39.9,30.1,0.464,153,12,25.3,41.8,13,35,83.6,10.9
"93","Hoerner, Nico",100,53.1,40.8,34.1,11,5.8,17.9,37,33,0.52,100,16.8,24.1,41,11.5,17.2,89.1,18.2
"94","Holliday, Jackson",237,50.8,30.4,36.9,24.9,18.3,39.7,45.6,44.7,0.557,236,10.2,27.3,37.7,14.4,42.6,89.3,24
"95","Horwitz, Spencer",159,45.3,27.3,43.9,18.6,10.5,33.6,38.4,41.5,0.503,159,15.5,25.4,42.1,12.7,40.5,88.1,19.3
"96","Isbel, Kyle",203,47.6,32.4,35.7,16.7,6,35.6,47.3,36,0.468,188,12.1,32.7,32.4,3.1,31.4,83.8,4.7
"97","Jones, Nolan",163,46.8,29.9,42.3,25.2,18,38.4,39.3,50.3,0.448,162,14.7,26.8,40.7,16,38.6,90.9,18
"98","Jung, Josh",74,56.3,41.3,39.9,25.4,22,30,45.9,48.6,0.527,74,11.3,28.2,36.5,15.6,31.6,87.9,38.6
"99","Keith, Colt",212,44.5,28.5,38.4,21.9,11.9,38.7,36.3,47.2,0.575,212,14.2,28.1,42.9,15,35.4,89.8,25.5
"100","Kelly, Carson",74,49.5,30.6,37.7,21.9,14.8,33.8,36.5,39.2,0.486,74,15.9,29.8,41.9,17.4,59.1,87.6,43.1
"101","Kepler, Max",212,47.8,30.7,41.9,22.1,9.9,41.8,36.8,46.7,0.467,211,14.8,27,36.5,13.9,25.7,88.8,12.2
"102","Kim, Hyeseong",85,49.3,34.8,31.7,32.1,17.5,53.6,54.1,30.6,0.529,84,6,21.8,44,12.3,35.7,88.4,16.4
"103","Kiner-Falefa, Isiah",74,49.1,37.8,35.6,18.4,12.4,25.7,54.1,27,0.324,73,5.2,22.6,39.7,2.1,37.5,92.1,9.5
"104","Kirk, Alejandro",81,46.9,35.3,38.8,16.9,10.2,24.7,46.9,48.1,0.432,81,13,29.3,33.3,9.4,22.7,90.9,18.2
"105","Kjerstad, Heston",100,57.1,42.3,40,26.7,16.3,39.6,38,42,0.49,100,14,27.4,45,19.7,38.5,92.5,32.5
"106","Kurtz, Nick",133,44.3,26.1,34.8,32.6,23.1,50,38.3,58.6,1.09,133,14.2,21.7,42.9,18.6,29.5,92.5,43
"107","Kwan, Steven",260,40.7,25.9,42.4,9.4,2.9,20.8,39.2,22.7,0.481,256,14.6,23.9,43.4,15.3,31.6,83.3,15.9
"108","Langford, Wyatt",70,44.6,27.9,41.4,27.8,13.8,49.4,32.9,41.4,0.557,70,19,27.6,38.6,14.5,34.8,88.9,63.6
"109","Larnach, Trevor",228,45,30.7,32.9,29,11,55.1,41.7,43.9,0.592,228,11.4,26.5,37.7,7.5,39,84.6,11.9
